Round,ID,Authors,Institution,Type of Institution,Public/Private,Profit/Non-profit,Country
2,R2ACM209,Gilles Barthe,Institute for Security and Privacy,Academic Research Center,Private,Non-profit,Germany
2,R2ACM209,Yingte Xu,Institute for Security and Privacy,Academic Research Center,Private,Non-profit,Germany
1,SCP0058,Aritra Sarkar,QuTech,Academic Research Center,Public-private,Non-profit,Netherlands
1,SCP0405,Axel Dahlberg,QuTech,Academic Research Center,Public-private,Non-profit,Netherlands
1,SCP0405,Stephanie Wehner,QuTech,Academic Research Center,Public-private,Non-profit,Netherlands
2,R2ACM137,Cécile M. Perrault,Alice & Bob,Company,Private,Profit,France
2,R2ACM433,Hideto Ogawa,"Research & Development Group, Hitachi, Ltd.",Company,Private,Profit,Japan
2,R2ACM433,Naoto Sato,"Research & Development Group, Hitachi, Ltd.",Company,Private,Profit,Japan
2,R2ACM433,Ryota Katsube,"Research & Development Group, Hitachi, Ltd.",Company,Private,Profit,Japan
2,R2ACM628,Erick Ochoa,AMD,Company,Private,Profit,Canada
2,R2ACM628,Lukas Burgholzer,Munich Quantum Software Company,Company,Private,Profit,Germany
2,R2ACM628,Patrick Hopf,Munich Quantum Software Company,Company,Private,Profit,Germany
2,R2ACM628,Robert Wille,Munich Quantum Software Company,Company,Private,Profit,Germany
2,R2ACM628,Josh Izaac,Xanadu,Company,Private,Profit,Canada
2,R2ACM774,Harshitta Gandhi,QBit Solutions Research,Company,Private,Profit,United States
2,R2ACM825,Masaomi Yamaguchi,Fujitsu Limited,Company,Private,Profit,Japan
2,R2ACM825,Nobukazu Yoshioka,QAML Inc.,Company,Private,Profit,Japan
2,R2IEEE1012,Shinobu Saito,Inc. Computer & Data Science Laboratories,Company,Private,Profit,Japan
2,R2IEEE1034,Wolfgang Mauerer,"Siemens AG, Technology",Company,Private,Profit,Germany
2,R2IEEE1052,Shinobu Saito,NTT Computer and Data Science Laboratories,Company,Private,Profit,Japan
2,R2IEEE235,Naoto Sato,Hitachi Ltd.,Company,Private,Profit,Japan
2,R2IEEE235,Ryota Katsube,Hitachi Ltd.,Company,Private,Profit,Japan
2,R2IEEE32,Lukas Burgholzer,Munich Quantum Software Company GmbH,Company,Private,Profit,Germany
2,R2IEEE32,Robert Wille,Munich Quantum Software Company GmbH,Company,Private,Profit,Germany
2,R2IEEE32,Robert Wille,Software Competence Center Hagenberg GmbH (SCCH),Company,Public-private,Non-profit,Austria
2,R2IEEE486,Sylvain Béland,"Software Management Research Center, Doramante",Company,Private,Profit,Canada
2,R2IEEE64,Masaomi Yamaguchi,Fujitsu LTD.,Company,Private,Profit,Japan
2,R2IEEE64,Norihiro Kakuko,Fujitsu LTD.,Company,Private,Profit,Japan
2,R2IEEE64,Shun Gokita,Fujitsu LTD.,Company,Private,Profit,Japan
2,R2IEEE64,Haruki Nakayama,"Systems Engineering Consultants Co., LTD.",Company,Private,Profit,Japan
2,R2IEEE64,Keita Matsumoto,"Systems Engineering Consultants Co., LTD.",Company,Private,Profit,Japan
2,R2IEEE64,Ryo Uchida,"Systems Engineering Consultants Co., LTD.",Company,Private,Profit,Japan
2,R2IEEE64,Keita Sasada,Toyo Information Systems Inc.,Company,Private,Profit,Japan
2,R2IEEE64,Yasuhito Takamiya,Toyo Information Systems Inc.,Company,Private,Profit,Japan
2,R2IEEE695,Shinobu Saito,"NTT, Inc. Computer & Data Science Laboratories",Company,Private,Profit,Japan
2,R2IEEE996,Shinobu Saito,NTT Computer and Data Science Laboratories,Company,Private,Profit,Japan
2,R2SCP1230,Ana Díaz-Muñoz,AQCLab Software Quality,Company,Private,Profit,Spain
2,R2SCP1230,Moisés Rodríguez,AQCLab Software Quality,Company,Private,Profit,Spain
2,R2SCP841,John Dumbell,Oxford Quantum Circuits,Company,Private,Profit,United Kingdom
1,SCP0002,Guido Peterssen,Quantum Software Technology,Company,Private,Profit,Spain
1,SCP0002,Jose Luis Hevia,Quantum Software Technology,Company,Private,Profit,Spain
1,SCP0012,Pauli Taipale,OP Financial Group,Company,Private,Profit,Finland
1,SCP0012,Petri Liimatta,OP Financial Group,Company,Private,Profit,Finland
1,SCP0024,Valtteri Lahtinen,Quanscient,Company,Private,Profit,Finland
1,SCP0026,Guido Peterssen,aQuantum,Company,Private,Profit,Spain
1,SCP0026,Jose Luis Hevia,aQuantum,Company,Private,Profit,Spain
1,SCP0026,Mario Piattini,aQuantum,Company,Private,Profit,Spain
1,SCP0033,Corey O'Meara,E.ON Digital Technology GmbH,Company,Private,Profit,Germany
