Round,ID,TITLE,ABSTRACT,KEYWORDS,YEAR,SOURCE TITLE,DOCUMENT TYPE,Research Type,SWEBOK
1,WOS0011,A Comprehensive Study of Bug Fixes in Quantum Programs,"As quantum programming evolves, more and more quantum programming languages are being developed. As a result, debugging and testing quantum programs have become increasingly important. While bug fixing in classical programs has come a long way, there is a lack of research in quantum programs. To this end, this paper presents a comprehensive study on bug fixing in quantum programs. We collect and investigate 96 real-world bugs and their fixes from four popular quantum programming languages (Qiskit, Cirq, Q#, and ProjectQ). Our study shows that a high proportion of bugs in quantum programs are quantum-specific bugs (over 80%), which requires further research in the bug fixing domain. We also summarize and extend the bug patterns in quantum programs and subdivide the most critical part, math-related bugs, to make it more applicable to the study of quantum programs. Our findings summarize the characteristics of bugs in quantum programs and provide a basis for studying testing and debugging quantum programs.",Bug fixing; quantum software testing; quantum program debugging; empirical study,2022,"International Conference on Software Analysis, Evolution and Reengineering",Conference Paper,Evaluation research,Software Maintenance
1,SCP0112,A Design of Software Architecture for Validate and Verification of Linear-Optical Quantum Computing Platform,"Compared to other semiconductor quantum computing platform, it is relatively untouched about the verification of linear-optical quantum computing (LOQC) platform. To overcome this problem, we propose a universal and versatile software platform which can support any variation of LOQC layout structure. It also supports the user-friendly interface for smooth experiment.  © 2023 IEEE.",,2023,International Conference on Quantum Computing and Engineering,Conference Paper,Proposal of solution,Software Architecture
1,WOS0017,A Flowchart Language for Quantum Programming,"Several high-level quantum programming languages have been proposed in the previous research. In this paper, we define a low-level flowchart language for quantum programming, which can be used in implementation of high-level quantum languages and in design of quantum compilers. The formal semantics of the flowchart language is given, and the notion of correctness for programs written in this language is introduced. A structured quantum programming theorem is presented, which provides a technique of translating quantum flowchart programs into programs written in a high-level language, namely, a quantum extension of the while-language.",Quantum programming; flowchart language; while-language; structured programming,2011,Transactions on Software Engineering,Article,Proposal of solution,Software Engineering Models and Methods
1,WOS0019,A formalization of the design pattern derivation by applying quantum field concepts,"It is widely known that the analysts and the designers of software need to have some criteria applicable for extracting software elements (attributes, methods, and classes) during OOAD. Such criteria should be accurate and easy to understand. Considering such a need in the circumstance of OOAD application, the authors have developed a methodology that derives several criteria for extracting software elements from software characteristics. This methodology is analogous to the quantum field theory. This paper describes the basic concepts of the software field and the derivation of the element-extracting operations and configuration constraints under several hypotheses. In the later part of the paper describes that it is possible to derive typical design patterns by applying those operations to the software field.",,2002,Knowledge-based Software Engineering,Conference Paper,Proposal of solution,Software Design
1,SCP0081,A Framework for Quantum based Software Development Process,"Quantum software is essential for fully harnessing the capabilities of quantum computing systems. Consequently, it has been garnering growing interest in recent times. This document provides a precise definition of the concept of 'quantum software engineering' and presents a comprehensive framework for the life cycle of quantum software. Given the interdisciplinary nature of quantum computing, it is essential to establish a shared understanding of the process for developing and implementing a quantum software application. At present, there isn't a complete methodology or lifecycle that covers every significant stage that could come up along the process of development and execution. That's why we provide the quantum software lifecycle in this document. With this paradigm, practitioners, developers, and scholars have a clear path forward for quantum computing. The provision of a methodical development roadmap for quantum- principles-based software encourages creativity in this quickly expanding subject.  © 2024 IEEE.",Classical computing; Error correction; Machine learning; Optimization; Quantum computing,2024,International Conference on Advances in Data Engineering and Intelligent Computing Systems,Conference Paper,Proposal of solution,Software Engineering Process
1,SCP0259,A layered software architecture for quantum computing design tools,Compilers and computer-aided design tools are essential for fine-grained control of nanoscale quantum-mechanical systems. A proposed four-phase design flow assists with computations by transforming a quantum algorithm from a high-level language program into precisely scheduled physical actions. © 2006 IEEE.,,2006,Computer,Article,Proposal of solution,Software Architecture
1,SCP0111,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,"Quantum computers have the potential to outperform classical computers for some complex computational problems. However, current quantum computers (e.g., from IBM and Google) have inherent noise that results in errors in the outputs of quantum software executing on the quantum computers, affecting the reliability of quantum software development. The industry is increasingly interested in machine learning (ML)-based error mitigation techniques, given their scalability and practicality. However, existing ML-based techniques have limitations, such as only targeting specific noise types or specific quantum circuits. This paper proposes a practical ML-based approach, called Q-LEAR, with a novel feature set, to mitigate noise errors in quantum software outputs. We evaluated QLEAR on eight quantum computers and their corresponding noisy simulators, all from IBM, and compared Q-LEAR with a state-of-the-art ML-based approach taken as baseline. Results show that, compared to the baseline, Q-LEAR achieved a 25% average improvement in error mitigation on both real quantum computers and simulators. We also discuss the implications and practicality of Q-LEAR, which, we believe, is valuable for practitioners. © 2024 Copyright held by the owner/author(s).",Error Mitigation; Machine learning; Quantum Computing; Quantum noise; Software Engineering,2024,International Conference on the Foundations of Software Engineering,Conference Paper,Evaluation research,Software Construction
1,SCP0096,A Metamodel-Based Approach to Quantum Software Development,"Quantum computing introduces a significant shift in computation using principles like superposition, entanglement, and quantum interference to tackle problems that were previously unsolvable. Software engineers face challenges in quantum software development due to a limited understanding of quantum concepts and their lack of equivalents in classical computing. This paper introduces a metamodel-based approach that maps quantum concepts onto familiar software constructs. Through a multi-level framework, it connects abstract quantum ideas, represented as metaclasses, with their practical applications in model instances and implementations. The paper uses the Deutsch-Jozsa algorithm to demonstrate how the metamodel makes quantum algorithms accessible to software engineers.  © 1984-2012 IEEE.",,2025,Software,Article,Proposal of solution,Software Engineering Models and Methods
1,SCP0172,A Model-Driven Framework for Composition-Based Quantum Circuit Design,"Quantum programming languages support the design of quantum applications. However, to create such programs, one needs to understand the fundamental characteristics of quantum computing and quantum information theory. Furthermore, quantum algorithms frequently make use of abstract operations with a hidden low-level realization (e.g., Quantum Fourier Transform). Thus, turning from elementary quantum operations to a higher-level view of quantum circuit design not only reduces the development effort but also lowers the entry barriers for non-quantum computing experts.To this end, this article proposes a modeling language and design framework for quantum circuits. This allows the definition of composite operators to advocate a higher-level quantum algorithm design, together with automated code generation for the circuit execution. To demonstrate the benefits of the proposed approach, coined Composition-based Quantum Circuit Designer, we applied it for realizing the Quantum Counting algorithm and the Quantum Approximate Optimization Algorithm. Our evaluation results show that, compared to an existing state-of-the-art editor, the proposed approach allows for the realization of both quantum algorithms on a high level with a substantially reduced development effort. In particular, the proposed approach shows constant scaling when increasing the size of the investigated quantum circuits and a lower change criticality when evolving existing quantum circuits.  © 2024 Copyright held by the owner/author(s).",model-driven engineering; quantum circuits; Quantum computing; quantum software engineering; quantum software languages,2024,Transactions on Quantum Computing,Article,Evaluation research,Software Design
1,SCP0387,A model-driven software architecture for ultra-cold gas experiments in space,"Developing software for large and complex experiments is a challenging task. It must incorporate many requirements from different domains, all with their own conceptions about the overall systems. An additional level of complexity is added if the experiment is conducted autonomously during a sounding rocket flight. Without a proper software architecture and development techniques, achieving and maintaining a high code quality is a very cumbersome task. This paper describes the architecture and the model-driven development approach we used to implement the control software of the experiments in the MAIUS-1 mission (matter-wave interferometry in microgravity). In this mission, the software had to handle around 150 experiments in six minutes autonomously and adapt to changes in the control flow according to real-time data from the experiment. The MAIUS-1 mission was the first mission to create Bose-Einstein condensates in space and conduct other experiments with ultra-cold gases on a sounding rocket. Besides the scientific goals in the area of quantum-optics, other important objectives of the mission were the miniaturization and further development of laser systems, vacuum components, optical sensors, and other related technologies. To fulfil these goals, new experimental hardware has been created which had to be integrated and tested with the software of the experiment computer. The custom-made hardware and the considerable number of domains involved brought up many challenges for the software engineering. To face all these challenges of developing software with this high complexity, we chose to follow a model-driven software development approach. Several domain-specific languages (DSLs) accompanied with specialized tools were created to allow the physicists and electronic engineers to describe system components and the experiments in a domain-specific way. These descriptions were then automatically transformed in C++ code for the flight software. This way we could actively incorporate all the domains involved in conducting the experiment directly in building the flight software without compromising the software quality. We created a versatile software platform not only for the MAIUS-1 mission but also for upcoming missions with similar experiments and hardware. With our approach we were able to generate around 84% of the source code for the final flight software from the domain-specific models. Besides the improvement of the development process, the code generation made a significant contribution to the overall software quality as almost all manual coding of error-prone boilerplate code could be mitigated. © 2018 International Astronautical Federation, IAF. All rights reserved.",Code generation; Experiment control; Model-driven development; Software engineering; Sounding rocket,2018,International Astronautical Congress,Conference Paper,Proposal of solution,Software Architecture
